Commune,Niveau,Détails
Aubigny-en-Laonnois (02820),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Audignicourt (02300),Alerte renforcée,zone : bassin de l'Aisne aval (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Audignicourt (02300),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Audigny (02120),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Audigny (02120),Alerte,zone : bassin de l'Oise Amont et Sambre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Audigny (02120),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Augy (02220),Vigilance,zone : bassin de l'Aisne Vesle Suippe (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Aulnois-sous-Laon (02000),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Autremencourt (02250),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Autreppes (02580),Alerte,zone : bassin de l'Oise Amont et Sambre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Autreville (02300),Alerte,zone : bassin de l'Oise Moyenne et Ailette (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Azy-sur-Marne (02400),Vigilance,zone : bassin de la Marne (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bagneux (02290),Alerte renforcée,zone : bassin de l'Aisne aval (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Bancigny (02140),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Barenton-Bugny (02000),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Barenton-Cel (02000),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
Barenton-sur-Serre (02270),Vigilance,zone : bassin de la Serre (eaux superficielles)<br>arrêté valable du 16/09/2022 au 31/10/2022
