Commune,Niveau,Détails
Cazaux (09120),Alerte renforcée,zone : BV_Lèze (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Cazavet (09160),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Cazenave-Serres-et-Allens (09400),Crise,zone : BV_Arnave (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Celles (09000),Crise,zone : BV_Sios (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Clermont (09420),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Contrazy (09230),Crise,zone : BV_Volp (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Cos (09000),Crise,zone : BV_Arget (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Couflens (09140),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Coussa (09120),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Coutens (09500),Crise,zone : BV_Douctouyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Coutens (09500),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Cérizols (09230),Crise,zone : BV_Lens (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Daumazan-sur-Arize (09350),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Dreuilhe (09300),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Dreuilhe (09300),Crise,zone : BV_Touyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Dun (09600),Crise,zone : BV_Douctouyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Dun (09600),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Durban-sur-Arize (09240),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Durfort (09130),Alerte renforcée,zone : BV_Lèze (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Encourtiech (09200),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Ercé (09140),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Erp (09200),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Esclagne (09600),Crise,zone : BV_Countirou (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Esclagne (09600),Crise,zone : BV_Douctouyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Esclagne (09600),Crise,zone : BV_Touyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Esplas (09700),Alerte renforcée,zone : BV_Lèze (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Esplas-de-Sérou (09420),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Esplas-de-Sérou (09420),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Eycheil (09200),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Fabas (09230),Crise,zone : BV_Lens (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Fabas (09230),Crise,zone : BV_Volp (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Foix (09000),Crise,zone : BV_Arget (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Fornex (09350),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Fougax-et-Barrineuf (09300),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Freychenet (09300),Crise,zone : BV_Douctouyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Freychenet (09300),Crise,zone : BV_Sios (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Gabre (09290),Alerte renforcée,zone : BV_Lèze (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Gabre (09290),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Gajan (09190),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Gajan (09190),Crise,zone : BV_Volp (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Ganac (09000),Crise,zone : BV_Arget (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Gaudiès (09700),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Ilhat (09300),Crise,zone : BV_Douctouyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
L'Aiguillon (09300),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
La Bastide-de-Besplas (09350),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
La Bastide-de-Bousignac (09500),Crise,zone : BV_Countirou (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
La Bastide-de-Bousignac (09500),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
La Bastide-de-Lordat (09700),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
La Bastide-de-Sérou (09240),Alerte renforcée,zone : BV_Lèze (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
La Bastide-de-Sérou (09240),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
La Bastide-du-Salat (09160),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
La Bastide-sur-l'Hers (09600),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
La Tour-du-Crieu (09100),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Lacave (09160),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Lacourt (09200),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Lagarde (09500),Crise,zone : BV_Countirou (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Lagarde (09500),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Lagarde (09500),Crise,zone : BV_Touyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Lanoux (09130),Alerte renforcée,zone : BV_Lèze (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Lapenne (09500),Crise,zone : BV_Bessous (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Lapenne (09500),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Larbont (09240),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Laroque-d'Olmes (09600),Crise,zone : BV_Douctouyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Laroque-d'Olmes (09600),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Laroque-d'Olmes (09600),Crise,zone : BV_Touyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Lasserre (09230),Crise,zone : BV_Lens (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Lasserre (09230),Crise,zone : BV_Volp (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Lavelanet (09300),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Lavelanet (09300),Crise,zone : BV_Touyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Le Bosc (09000),Crise,zone : BV_Arget (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Le Carlaret (09100),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Le Fossat (09130),Alerte renforcée,zone : BV_Lèze (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Le Mas-d'Azil (09290),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Le Peyrat (09600),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Le Peyrat (09600),Crise,zone : BV_Touyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Le Port (09320),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Les Bordes-sur-Arize (09350),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Les Issards (09100),Crise,zone : BV_Douctouyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Les Issards (09100),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Les Pujols (09100),Crise,zone : BV_Douctouyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Les Pujols (09100),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Lescousse (09100),Alerte renforcée,zone : BV_Lèze (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Lescure (09420),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Lescure (09420),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Lescure (09420),Crise,zone : BV_Volp (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Lesparrou (09300),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Leychert (09300),Crise,zone : BV_Douctouyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Leychert (09300),Crise,zone : BV_Sios (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Lieurac (09300),Crise,zone : BV_Douctouyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Limbrassac (09600),Crise,zone : BV_Countirou (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Limbrassac (09600),Crise,zone : BV_Douctouyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Limbrassac (09600),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Lordat (09250),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Lorp-Sentaraille (09190),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Loubaut (09350),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Loubens (09120),Alerte renforcée,zone : BV_Lèze (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Ludiès (09100),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Léran (09600),Crise,zone : BV_Countirou (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Léran (09600),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Léran (09600),Crise,zone : BV_Touyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Lézat-sur-Lèze (09210),Alerte renforcée,zone : BV_Lèze (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Malléon (09120),Crise,zone : BV_Douctouyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Manses (09500),Crise,zone : BV_Bessous (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Manses (09500),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Massat (09320),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Mauvezin-de-Prat (09160),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Mauvezin-de-Sainte-Croix (09230),Crise,zone : BV_Volp (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Mazères (09270),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Mercenac (09160),Crise,zone : BV_Lens (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Mercenac (09160),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Mercus-Garrabet (09400),Crise,zone : BV_Sios (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Mirepoix (09500),Crise,zone : BV_Bessous (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Mirepoix (09500),Crise,zone : BV_Countirou (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Mirepoix (09500),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Monesple (09130),Alerte renforcée,zone : BV_Lèze (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Montagagne (09240),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Montagagne (09240),Crise,zone : BV_Arget (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Montaillou (09110),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Montardit (09230),Crise,zone : BV_Volp (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Montaut (09700),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Montbel (09600),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Montels (09240),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Montesquieu-Avantès (09200),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Montesquieu-Avantès (09200),Crise,zone : BV_Volp (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Montfa (09350),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Montferrier (09300),Crise,zone : BV_Douctouyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Montferrier (09300),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Montferrier (09300),Crise,zone : BV_Touyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Montgailhard (09330),Crise,zone : BV_Sios (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Montgauch (09160),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Montjoie-en-Couserans (09200),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Montjoie-en-Couserans (09200),Crise,zone : BV_Volp (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Montseron (09240),Alerte renforcée,zone : BV_Arize (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Montségur (09300),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Montségur (09300),Crise,zone : BV_Touyre (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Montégut-Plantaurel (09120),Alerte renforcée,zone : BV_Lèze (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Montégut-en-Couserans (09200),Crise,zone : BV_Salat (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
Moulin-Neuf (09500),Alerte renforcée,zone : BV_Hers (eaux superficielles)<br>arrêté valable du 25/08/2022 au 31/10/2022
