Commune,Niveau,Détails
Fréland (68240),Alerte renforcée,"zone : Doller amont, Fecht, Weiss et Lauch (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022"
Sickert (68290),Alerte renforcée,"zone : Doller amont, Fecht, Weiss et Lauch (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022"
Griesbach-au-Val (68140),Alerte renforcée,"zone : Doller amont, Fecht, Weiss et Lauch (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022"
Bergholtzzell (68500),Alerte renforcée,"zone : Doller amont, Fecht, Weiss et Lauch (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022"
Raedersheim (68190),Alerte renforcée,"zone : Doller amont, Fecht, Weiss et Lauch (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022"
Bourbach-le-Bas (68290),Alerte renforcée,"zone : Doller amont, Fecht, Weiss et Lauch (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022"
Roderen (68800),Alerte renforcée,"zone : Doller amont, Fecht, Weiss et Lauch (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022"
Roderen (68800),Vigilance,zone : Doller aval (eaux superficielles)<br>arrêté valable du 20/06/2022 au 31/10/2022
Aspach-Michelbach (68700),Alerte renforcée,"zone : Doller amont, Fecht, Weiss et Lauch (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022"
Aspach-Michelbach (68700),Vigilance,zone : Doller aval (eaux superficielles)<br>arrêté valable du 20/06/2022 au 31/10/2022
Rouffach (68250),Alerte renforcée,"zone : Doller amont, Fecht, Weiss et Lauch (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022"
Lauw (68290),Alerte renforcée,"zone : Doller amont, Fecht, Weiss et Lauch (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022"
Dolleren (68290),Alerte renforcée,"zone : Doller amont, Fecht, Weiss et Lauch (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022"
Frampas (52220),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Ternat (52210),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Rochetaillée (52210),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Giey-sur-Aujon (52210),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Bricon (52120),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Germaines (52160),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Voillecomte (52130),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Dancevoir (52210),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Mertrud (52110),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Bailly-aux-Forges (52130),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Coupray (52210),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Châteauvillain (52120),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
"Autreville-sur-la-Renne (52120, 52330)",Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Rouelles (52160),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Villars-en-Azois (52120),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Arbot (52160),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Lavilleneuve-au-Roi (52330),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Orges (52120),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Rouvres-sur-Aube (52160),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Vitry-en-Montagne (52160),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Sommevoire (52220),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Saint-Loup-sur-Aujon (52210),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
Bay-sur-Aube (52160),Alerte,zone : AUBE AMONT (eaux superficielles)<br>arrêté valable du 22/07/2022 au 31/10/2022
