Commune,Niveau,Détails
Boisbreteau (16480),Alerte renforcée,"zone : OUGC Isle-Dronne /  Zone d'alerte : Lary, Pousonne, Palais (eaux superficielles)<br>arrêté valable du 02/08/2022 au 05/08/2022"
Boisné-La Tude (16320),Crise,zone : OUGC Isle-Dronne /  Zone d'alerte : La Tude (eaux superficielles)<br>arrêté valable du 02/08/2022 au 05/08/2022
Bonnes (16390),Alerte,zone : OUGC Isle-Dronne /  Zone d'alerte : La Dronne (eaux superficielles)<br>arrêté valable du 02/08/2022 au 05/08/2022
Bonneuil (16120),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Bonneuil (16120),Crise,zone : OUGC Cogesteau /  Zone d'alerte : Né (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Bors (Canton de Charente-Sud) (16360),Alerte renforcée,"zone : OUGC Isle-Dronne /  Zone d'alerte : Lary, Pousonne, Palais (eaux superficielles)<br>arrêté valable du 02/08/2022 au 05/08/2022"
Bors (Canton de Tude-et-Lavalette) (16190),Crise,zone : OUGC Isle-Dronne /  Zone d'alerte : La Tude (eaux superficielles)<br>arrêté valable du 02/08/2022 au 05/08/2022
Bors (Canton de Tude-et-Lavalette) (16190),Crise,zone : OUGC Isle-Dronne /  Zone d'alerte : L'Auzonne (eaux superficielles)<br>arrêté valable du 02/08/2022 au 05/08/2022
Bourg-Charente (16200),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Bouteville (16120),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Bouteville (16120),Crise,zone : OUGC Cogesteau /  Zone d'alerte : Né (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Boutiers-Saint-Trojan (16100),Crise,zone : OUGC Saintonge /  Zone d'alerte : L'Antenne (eaux superficielles)<br>arrêté valable du 27/07/2022 au 31/10/2022
Boutiers-Saint-Trojan (16100),Alerte renforcée,zone : OUGC Cogesteau /  Zone d'alerte : Charente-Moyenne (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Bouëx (16410),Alerte renforcée,zone : OUGC Karst /  Zone d'alerte : Bandiat (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Bouëx (16410),Alerte,zone : OUGC Karst /  Zone d'alerte : Échelle-Lèche (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Brettes (16240),Alerte,zone : OUGC Cogesteau /  Zone d'alerte : Aume-Couture (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Brie (16590),Alerte renforcée,zone : OUGC Karst /  Zone d'alerte : Bandiat (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Brie (16590),Alerte renforcée,zone : OUGC Karst /  Zone d'alerte : Tardoire (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Brie (16590),Alerte,zone : OUGC Cogesteau /  Zone d'alerte : Argence (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Brie-sous-Barbezieux (16300),Crise,zone : OUGC Cogesteau /  Zone d'alerte : Né (eaux superficielles)<br>arrêté valable du 04/08/2022 au 31/10/2022
Brie-sous-Chalais (16210),Crise,zone : OUGC Isle-Dronne /  Zone d'alerte : La Tude (eaux superficielles)<br>arrêté valable du 02/08/2022 au 05/08/2022
