Commune,Niveau,Détails
Banville (14480),Alerte renforcée,zone : SEULLES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Banville (14480),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Barbery (14220),Alerte renforcée,zone : ORNE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Barbery (14220),Vigilance,zone : NAPPE DU SOCLE (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Barbeville (14400),Vigilance,zone : AURE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Barbeville (14400),Vigilance,zone : NAPPE DU BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Barbeville (14400),Alerte renforcée,zone : NAPPE DU TRIAS (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Barneville-la-Bertran (14600),Vigilance,zone : TOUQUES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Barneville-la-Bertran (14600),Vigilance,zone : NAPPE DU CÉNOMANIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Baron-sur-Odon (14210),Alerte renforcée,zone : ORNE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Baron-sur-Odon (14210),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Barou-en-Auge (14620),Vigilance,zone : DIVES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Barou-en-Auge (14620),Vigilance,zone : NAPPE DU SOCLE (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Basly (14610),Alerte renforcée,zone : SEULLES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Basly (14610),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Basseneville (14670),Vigilance,zone : DIVES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Basseneville (14670),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bavent (14860),Vigilance,zone : DIVES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bavent (14860),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bayeux (14400),Vigilance,zone : AURE (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bayeux (14400),Vigilance,zone : NAPPE DU BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bazenville (14480),Alerte renforcée,zone : SEULLES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Bazenville (14480),Alerte,zone : NAPPE DU BAJOCIEN ET BATHONIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Beaufour-Druval (14340),Vigilance,zone : DIVES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Beaufour-Druval (14340),Vigilance,zone : NAPPE DU CÉNOMANIEN (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
Beaumais (14620),Vigilance,zone : DIVES (eaux superficielles)<br>arrêté valable du 27/08/2022 au 30/11/2022
Beaumais (14620),Vigilance,zone : NAPPE DU SOCLE (eaux souterraines)<br>arrêté valable du 27/08/2022 au 30/11/2022
