Commune,Niveau,Détails
Bard-le-Régulier (21430),Vigilance,"zone : Arroux, Lacanche (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Bard-lès-Époisses (21460),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Barges (21910),Vigilance,"zone : Vouge, Biètre, Cent-Fonts (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Barjon (21580),Vigilance,"zone : Tille amont, Ignon, Venelle (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Baubigny (21340),Vigilance,"zone : Dheune, Avant Dheune (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Baulme-la-Roche (21410),Vigilance,"zone : Ouche amont, Suzon, Vandenesse (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Beaulieu (21510),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Beaumont-sur-Vingeanne (21310),Vigilance,zone : Vingeanne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Beaune (21200),Vigilance,"zone : Bouzaise, Lauve, Rhoin, Meuzin (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Beaunotte (21510),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Beire-le-Châtel (21310),Vigilance,"zone : Tille aval, Norges (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Beire-le-Fort (21110),Vigilance,"zone : Tille aval, Norges (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Belan-sur-Ource (21570),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Bellefond (21490),Vigilance,"zone : Tille aval, Norges (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Belleneuve (21310),Vigilance,"zone : Bèze, Albane (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Bellenod-sur-Seine (21510),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Bellenot-sous-Pouilly (21320),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Beneuvre (21290),Vigilance,zone : Châtillonnais (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022
Benoisey (21500),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Bessey-en-Chaume (21360),Vigilance,"zone : Bouzaise, Lauve, Rhoin, Meuzin (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Bessey-la-Cour (21360),Vigilance,"zone : Ouche amont, Suzon, Vandenesse (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Bessey-lès-Cîteaux (21110),Vigilance,"zone : Vouge, Biètre, Cent-Fonts (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Beurey-Bauguay (21320),Vigilance,"zone : Serein amont, Romanée (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
Beurizot (21350),Vigilance,"zone : Armançon amont, Brenne (eaux superficielles)<br>arrêté valable du 06/10/2022 au 31/10/2022"
