Commune,Niveau,Détails
"Ambleville (95420, 95710)",Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Amenucourt (95510),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Andilly (95580),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Argenteuil (95100),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Arnouville (95400),Alerte,zone : BASSIN VERSANT DE LA PLAINE DE FRANCE ET DU PARISIS (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Arnouville (95400),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Arronville (95810),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Arthies (95420),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Asnières-sur-Oise (95270),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Attainville (95570),Alerte,zone : BASSIN VERSANT DE LA PLAINE DE FRANCE ET DU PARISIS (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Auvers-sur-Oise (95430),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Auvers-sur-Oise (95430),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Avernes (95450),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Baillet-en-France (95560),Alerte,zone : BASSIN VERSANT DE LA PLAINE DE FRANCE ET DU PARISIS (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Banthelu (95420),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Beauchamp (95250),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Beaumont-sur-Oise (95260),Alerte,zone : BASSIN VERSANT DE LA PLAINE DE FRANCE ET DU PARISIS (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Beaumont-sur-Oise (95260),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Bellefontaine (95270),Alerte,zone : BASSIN VERSANT DE LA PLAINE DE FRANCE ET DU PARISIS (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Belloy-en-France (95270),Alerte,zone : BASSIN VERSANT DE LA PLAINE DE FRANCE ET DU PARISIS (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Bernes-sur-Oise (95340),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Berville (95810),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Bessancourt (95550),Alerte,zone : BASSIN VERSANT DE LA PLAINE DE FRANCE ET DU PARISIS (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Bessancourt (95550),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Bezons (95870),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Boisemont (95000),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Boissy-l'Aillerie (95650),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Bonneuil-en-France (95500),Alerte,zone : BASSIN VERSANT DE LA PLAINE DE FRANCE ET DU PARISIS (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Bouffémont (95570),Alerte,zone : BASSIN VERSANT DE LA PLAINE DE FRANCE ET DU PARISIS (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Bouffémont (95570),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Bouqueval (95720),Alerte,zone : BASSIN VERSANT DE LA PLAINE DE FRANCE ET DU PARISIS (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Bouqueval (95720),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Bray-et-Lû (95710),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Brignancourt (95640),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Bruyères-sur-Oise (95820),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Bréançon (95640),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Buhy (95770),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Butry-sur-Oise (95430),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Béthemont-la-Forêt (95840),Alerte,zone : BASSIN VERSANT DE LA PLAINE DE FRANCE ET DU PARISIS (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
"Cergy (95000, 95800)",Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
"Cergy (95000, 95800)",Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Champagne-sur-Oise (95660),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Charmont (95420),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Chars (95750),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Chaumontel (95270),Alerte,zone : BASSIN VERSANT DE LA PLAINE DE FRANCE ET DU PARISIS (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Chaussy (95710),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Chauvry (95560),Alerte,zone : BASSIN VERSANT DE LA PLAINE DE FRANCE ET DU PARISIS (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Chennevières-lès-Louvres (95380),Alerte,zone : BASSIN VERSANT DE LA PLAINE DE FRANCE ET DU PARISIS (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Châtenay-en-France (95190),Alerte,zone : BASSIN VERSANT DE LA PLAINE DE FRANCE ET DU PARISIS (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Chérence (95510),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Cléry-en-Vexin (95420),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Commeny (95450),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Condécourt (95450),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Cormeilles-en-Parisis (95240),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Cormeilles-en-Vexin (95830),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Courcelles-sur-Viosne (95650),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Courdimanche (95800),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Courdimanche (95800),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Deuil-la-Barre (95170),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Domont (95330),Alerte,zone : BASSIN VERSANT DE LA PLAINE DE FRANCE ET DU PARISIS (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Domont (95330),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Eaubonne (95600),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Enghien-les-Bains (95880),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Ennery (95300),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Ennery (95300),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Ermont (95120),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Fontenay-en-Parisis (95190),Alerte,zone : BASSIN VERSANT DE LA PLAINE DE FRANCE ET DU PARISIS (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Fosses (95470),Alerte,zone : BASSIN VERSANT DE LA PLAINE DE FRANCE ET DU PARISIS (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Franconville (95130),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Frouville (95690),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Frémainville (95450),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Frémécourt (95830),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Frépillon (95740),Alerte,zone : BASSIN VERSANT DE LA PLAINE DE FRANCE ET DU PARISIS (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Frépillon (95740),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Garges-lès-Gonesse (95140),Alerte,zone : BASSIN VERSANT DE LA PLAINE DE FRANCE ET DU PARISIS (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Garges-lès-Gonesse (95140),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Genainville (95420),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Gonesse (95500),Alerte,zone : BASSIN VERSANT DE LA PLAINE DE FRANCE ET DU PARISIS (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Gonesse (95500),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Goussainville (95190),Alerte,zone : BASSIN VERSANT DE LA PLAINE DE FRANCE ET DU PARISIS (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Gouzangrez (95450),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Grisy-les-Plâtres (95810),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Groslay (95410),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Guiry-en-Vexin (95450),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Génicourt (95650),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Haravilliers (95640),Alerte,zone : BASSIN VERSANT DU VEXIN (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
Haute-Isle (95780),Alerte,zone : BASSIN VERSANT DE L'OISE (eaux superficielles)<br>arrêté valable du 22/07/2022 au 30/11/2022
